Challenge=64
steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100044	1588	568.065217256546	0.479	0.0	0.49958378516104746	1.0	0.0	0.3391648704865644	0.0019938848959226473	99944
3000060	47620	17112.962059497833	0.4872	0.0	0.49986112682885375	1.0	0.0	0.20677027564712105	0.002163891003431688	2999960

Challenge=32
steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100006	3226	459.7212107181549	0.4981	0.0	0.5000213916816099	1.0	0.0	0.32689386301261375	0.002002061076264434	99906
3700005	119355	17124.491780996323	0.5025	1.0	0.5000187515235679	1.0	0.0	0.3837796597713976	0.0010891629441610686	3699905

Challenge=20 M=50
Observation: [cumprod, current bit, current stage, accumulated delay]
steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100016	5264	416.1706078052521	0.5167	1.0	0.4997460201026726	1.0	0.0	0.37833891361033634	0.007042273775514015	99916
200013	10527	837.2050075531006	0.5125	1.0	0.49986871963915425	1.0	0.0	0.3639597398845132	0.007324673289005001	199913
300010	15790	1254.273915052414	0.5034	1.0	0.5000134411634696	1.0	0.0	0.36799002405131725	0.0075386875692661365	299910
400007	21053	1674.966548204422	0.5061	1.0	0.49998778862976034	1.0	0.0	0.3689214132257991	0.006722413961995008	399907
500004	26316	2095.6580691337585	0.5032	1.0	0.5000147612582528	1.0	0.0	0.3718381324706485	0.007278759405248448	499904
800014	42106	3355.4630970954895	0.5179	1.0	0.49970447311990873	1.0	0.0	0.36315448108865633	0.007917606973648841	799914
900011	47369	3776.304710149765	0.5012	1.0	0.5000235618010772	1.0	0.0	0.3688980242638665	0.00758791083845486	899911
1000008	52632	4195.756960391998	0.504	1.0	0.5000090008190753	1.0	0.0	0.3641600928408589	0.007188369535379072	999908
1100005	57895	4615.771214962006	0.4966	0.0	0.5000134411634696	1.0	0.0	0.3665591142456744	0.006613565648733231	1099905
1200002	63158	5038.338245153427	0.4998	0.0	0.5000249618731545	1.0	0.0	0.3683078854777912	0.007704884408395498	1199902
1300018	68422	5462.029469251633	0.5142	1.0	0.49982331111527145	1.0	0.0	0.3645876902918269	0.007925122109146114	1299918
1400015	73685	5885.419287919998	0.4998	0.0	0.5000249618731545	1.0	0.0	0.3788713708590244	0.007640384883894031	1399915
1500012	78948	6307.204369306564	0.5059	1.0	0.49999018892264463	1.0	0.0	0.3675869366963414	0.0069929305582724305	1499912
