steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
10019	556	110.90195059776306	0.491	0.0	0.5001691405606399	1.0	0.0	0.021478480513648777	0.03225968386076231
20025	1223	117.76513648033142	0.493	0.0	0.5002011607355596	1.0	0.0	-0.0003269252125054293	0.1074485671061845
30014	1899	121.19856524467468	0.517	1.0	0.49996095943679536	1.0	0.0	0.038236676048008775	0.14731238529063012
40012	2557	124.56411814689636	0.523	1.0	0.4997206426802086	1.0	0.0	0.07406279414801066	0.21183267080479065
50003	3224	131.4554738998413	0.478	0.0	0.4997657108743714	1.0	0.0	0.10231703841730184	0.23661255473344905
60037	3896	133.38190937042236	0.516	1.0	0.49999399395792143	1.0	0.0	0.10431163028881381	0.2947384981587084
70047	4560	135.49993228912354	0.499	0.0	0.500249187155011	1.0	0.0	0.17521592208254058	0.3246837343471006
80041	5212	144.54178380966187	0.525	1.0	0.499624483612067	1.0	0.0	0.1778472906002408	0.3509551077995795
90049	5890	150.6230125427246	0.518	1.0	0.49992592043814443	1.0	0.0	0.17198303522524067	0.4103115467599005
110028	7224	152.87640690803528	0.488	0.0	0.5001060948499889	1.0	0.0	0.21871729056376424	0.44388203975618834
100036	6548	153.95666813850403	0.487	0.0	0.5000810745080052	1.0	0.0	0.21165805570846527	0.4289287340348884
120007	7887	161.66729021072388	0.51	1.0	0.5001501276118503	1.0	0.0	0.2436122163824581	0.47244842928021985
130011	8558	167.40781688690186	0.519	1.0	0.4998888765404656	1.0	0.0	0.24530876979428007	0.5038761677002294
140081	9226	175.57054591178894	0.529	1.0	0.49940805801309257	1.0	0.0	0.2732032639731422	0.5137073497574206
150036	9897	176.13600945472717	0.512	1.0	0.5001060948499889	1.0	0.0	0.2754166444699808	0.539533881420969
170020	11225	180.0817039012909	0.508	1.0	0.5001861515337926	1.0	0.0	0.2747437467081928	0.5661209524334826
160018	10552	183.6485459804535	0.528	1.0	0.49946517943242597	1.0	0.0	0.2962975619706823	0.5576421068442703
180002	11891	189.0024859905243	0.522	1.0	0.4997657108743714	1.0	0.0	0.31033166696787245	0.5705223626005026
190063	12563	192.80361652374268	0.521	1.0	0.49980877224075293	1.0	0.0	0.29142658147532313	0.5991320402566838
210021	13895	202.48222732543945	0.514	1.0	0.5000540511325291	1.0	0.0	0.3258790249586037	0.6189751811972202
200004	13226	204.20845675468445	0.505	1.0	0.50022517452166	1.0	0.0	0.30111136747676953	0.6090017098032992
230010	15225	212.81430912017822	0.488	0.0	0.5001060948499889	1.0	0.0	0.3632087856342754	0.6348550402676612
220047	14563	217.56675910949707	0.494	0.0	0.5002141683461337	1.0	0.0	0.3241866059948504	0.6244799126720969
240065	15894	221.5123748779297	0.527	1.0	0.4995202903992194	1.0	0.0	0.3678396978658506	0.6391525391054705
260017	17219	232.67280435562134	0.502	1.0	0.5002461856388775	1.0	0.0	0.3236387629360945	0.6485358153435321
270000	17893	232.98190021514893	0.494	0.0	0.5002141683461337	1.0	0.0	0.3387472027512198	0.655512773157057
250101	16565	233.9060206413269	0.502	1.0	0.5002461856388775	1.0	0.0	0.3349752654364885	0.6481301175788368
280010	18557	243.94871020317078	0.485	0.0	0.5000250243988045	1.0	0.0	0.34821029717030216	0.6614559928945494
290013	19223	252.4836835861206	0.516	1.0	0.49999399395792143	1.0	0.0	0.3301752803856362	0.6669210869886191
300109	19892	255.63345861434937	0.476	0.0	0.4996735671152454	1.0	0.0	0.4002349811168262	0.669124148975015
310037	20560	257.93548369407654	0.514	1.0	0.5000540511325291	1.0	0.0	0.37421345536005196	0.6674083975460685
320042	21235	262.42497181892395	0.512	1.0	0.5001060948499889	1.0	0.0	0.36438790098269336	0.673404708342015
330024	21897	274.8808937072754	0.496	0.0	0.5002341793942455	1.0	0.0	0.3429036546881863	0.6752418408662254
340021	22560	277.1859757900238	0.494	0.0	0.5002141683461337	1.0	0.0	0.2599819030195811	0.5130864845827084
350008	23223	283.7985987663269	0.507	1.0	0.5002011607355596	1.0	0.0	0.3135777954599426	0.6788845382946961
360067	23886	288.7411587238312	0.53	1.0	0.49934892545128134	1.0	0.0	0.3402319829835363	0.6793804600146233
380028	25230	293.1441774368286	0.484	0.0	0.49999399395792143	1.0	0.0	0.34928887245939577	0.6843615254920091
370019	24562	294.88759446144104	0.484	0.0	0.49999399395792143	1.0	0.0	0.35341094796655703	0.6824130638200098
390005	25892	301.0904002189636	0.504	1.0	0.5002341793942455	1.0	0.0	0.38091093337093185	0.684806087504253
400029	26560	312.56843304634094	0.516	1.0	0.49999399395792143	1.0	0.0	0.3452455926796852	0.6854046066195932
410025	27225	316.25455808639526	0.497	0.0	0.5002411830719671	1.0	0.0	0.3110284949394323	0.6236196924962576
420004	27887	322.5244107246399	0.492	0.0	0.5001861515337926	1.0	0.0	0.4154128587171669	0.6858501610015809
430014	28556	327.81068897247314	0.504	1.0	0.5002341793942455	1.0	0.0	0.342567794585922	0.6867499296344156
450025	29894	330.8351340293884	0.527	1.0	0.4995202903992194	1.0	0.0	0.3310215836471335	0.6889908631498354
440081	29221	331.4552981853485	0.467	0.0	0.49915945364198017	1.0	0.0	0.30382873573546465	0.6888366322502004
470071	31230	341.87686133384705	0.525	1.0	0.499624483612067	1.0	0.0	0.3279409108753744	0.6646920125360655
460068	30557	343.03278827667236	0.507	1.0	0.5002011607355596	1.0	0.0	0.3153129619450454	0.6604989281177742
480003	31885	352.2528624534607	0.493	0.0	0.5002011607355596	1.0	0.0	0.3982929933214596	0.6659799434536957
490033	32555	352.7652413845062	0.51	1.0	0.5001501276118503	1.0	0.0	0.4031905608375353	0.6906739592248701
510000	33894	362.16957092285156	0.474	0.0	0.4995733915788286	1.0	0.0	0.34067551171713695	0.6723934672380227
500012	33224	362.1849753856659	0.5	0.5	0.5002501876563868	1.0	0.0	0.37196294051241147	0.6907085663236103
520019	34554	368.35452103614807	0.525	1.0	0.499624483612067	1.0	0.0	0.32809958823220375	0.6913285569126254
530070	35227	376.9156939983368	0.505	1.0	0.50022517452166	1.0	0.0	0.35896588271214724	0.6913092357416
540104	35890	382.6048321723938	0.512	1.0	0.5001060948499889	1.0	0.0	0.34873432295566226	0.6914116948631612
560060	37218	388.94757056236267	0.5	0.5	0.5002501876563868	1.0	0.0	0.33726411052695643	0.6832078393430792
550066	36560	389.6731958389282	0.485	0.0	0.5000250243988045	1.0	0.0	0.37668046016734497	0.67914014180249
570020	37896	401.1680555343628	0.479	0.0	0.49980877224075293	1.0	0.0	0.3796555011875351	0.6919268497833718
580046	38555	402.6708416938782	0.512	1.0	0.5001060948499889	1.0	0.0	0.38958274390519754	0.6919841223458696
590018	39221	409.98428416252136	0.506	1.0	0.5002141683461337	1.0	0.0	0.3700562594378364	0.6920936869162386
600013	39894	411.3270843029022	0.488	0.0	0.5001060948499889	1.0	0.0	0.3506699732618328	0.6864245578920845
610012	40561	420.36625146865845	0.485	0.0	0.5000250243988045	1.0	0.0	0.3777576444055625	0.6923708586622969
620029	41233	425.60201382637024	0.477	0.0	0.4997206426802086	1.0	0.0	0.3552395396491565	0.6923786519129624
630061	41898	434.79542207717896	0.494	0.0	0.5002141683461337	1.0	0.0	0.3429701163293477	0.6924645629536748
640000	42557	436.6050229072571	0.5	0.5	0.5002501876563868	1.0	0.0	0.2970207346562134	0.6925521229955869
650008	43227	442.9256823062897	0.493	0.0	0.5002011607355596	1.0	0.0	0.33219779311272934	0.6897576985384324
660001	43892	447.5844964981079	0.486	0.0	0.5000540511325291	1.0	0.0	0.32987358546243095	0.6899551012804632
670014	44557	451.9289321899414	0.498	0.0	0.5002461856388775	1.0	0.0	0.38430475998194663	0.6901426691674762
680072	45232	457.16080689430237	0.524	1.0	0.4996735671152454	1.0	0.0	0.3375116576462883	0.6927630889433819
690099	45894	462.8729429244995	0.477	0.0	0.4997206426802086	1.0	0.0	0.30668909450630266	0.6904926009487707
700012	46561	467.25720024108887	0.505	1.0	0.50022517452166	1.0	0.0	0.3301243171058152	0.6730068422998328
720027	47891	475.6515712738037	0.522	1.0	0.4997657108743714	1.0	0.0	0.33719886977213454	0.6928726560692811
710022	47219	477.1035602092743	0.534	1.0	0.4990922691177385	1.0	0.0	0.28436551115114145	0.6928427397629375
730012	48560	484.28913474082947	0.505	1.0	0.50022517452166	1.0	0.0	0.32604882004427266	0.6929176423486088
740009	49225	489.4783055782318	0.5	0.5	0.5002501876563868	1.0	0.0	0.33966693567980416	0.6929223850988788
750005	49889	494.5047996044159	0.511	1.0	0.500129112459102	1.0	0.0	0.3224595878811834	0.6928342347405464
760001	50556	497.2232208251953	0.497	0.0	0.5002411830719671	1.0	0.0	0.36517342266746705	0.6929445187197669
770023	51227	502.5425179004669	0.521	1.0	0.49980877224075293	1.0	0.0	0.3778366312568995	0.6821034543382606
780036	51896	507.24127101898193	0.517	1.0	0.49996095943679536	1.0	0.0	0.37118869480341465	0.6920561919347266
790017	52555	516.9265022277832	0.486	0.0	0.5000540511325291	1.0	0.0	0.3449801051179672	0.6854413668288775
800035	53227	520.8085744380951	0.504	1.0	0.5002341793942455	1.0	0.0	0.3573672541397351	0.6925790095054523
810027	53902	524.2385146617889	0.467	0.0	0.49915945364198017	1.0	0.0	0.37164322529201516	0.6923398041269664
820010	54553	534.3496043682098	0.484	0.0	0.49999399395792143	1.0	0.0	0.32081867904498157	0.6929673709309115
