steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1000062	15874	5452.0161690711975	0.5011	1.0	0.5000237918131876	1.0	0.0	0.27420969617250557	0.6930934185947584
2000061	31747	10863.751014709473	0.5015	1.0	0.500022751757585	1.0	0.0	0.39433269454352626	0.6929585457984434
3000060	47620	16261.885783910751	0.495	0.0	0.5	1.0	0.0	0.32839593582557375	0.6930838547984431
4000059	63493	21703.812017679214	0.5025	1.0	0.5000187515235679	1.0	0.0	0.3137128532402127	0.6931108114240085
5000058	79366	27137.419528245926	0.5049	1.0	0.5000009900980296	1.0	0.0	0.2871456092335704	0.6931285005869846
6000057	95239	32523.10106778145	0.4992	0.0	0.5000243618427442	1.0	0.0	0.2982335588597282	0.6931015160802039
7000056	111112	37891.76598906517	0.4928	0.0	0.49997315659516317	1.0	0.0	0.3604212229085462	0.6930518196917131
8000055	126985	43282.26228260994	0.4972	0.0	0.5000171614216572	1.0	0.0	0.39179409440416774	0.6931044878848878
9000054	142858	48666.557513952255	0.4921	0.0	0.4999625848587331	1.0	0.0	0.3875595655551309	0.6931421926266241
10000053	158731	54059.382367134094	0.5074	1.0	0.4999702361378149	1.0	0.0	0.3346161588032709	0.6931425954193311
11000052	174604	59437.25004076958	0.4975	0.0	0.5000187515235679	1.0	0.0	0.29599972370583255	0.6931183873960797
12000051	190477	64824.72629404068	0.4981	0.0	0.5000213916816099	1.0	0.0	0.2521133643872909	0.6931386328275735
13000050	206350	70177.30721187592	0.5	0.5	0.5000250018751562	1.0	0.0	0.3303695932211596	0.6930925339006215
14000049	222223	75553.80371308327	0.498	0.0	0.5000210016591403	1.0	0.0	0.3804464375798372	0.6930863514568387
