steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100044	1588	561.1606738567352	0.3931	0.0	0.48846315073397556	1.0	0.0	0.14165952552554023	0.000601952143604678	99944
200025	3175	1124.330041885376	0.6593	1.0	0.4739683265762173	1.0	0.0	0.21562553814825133	0.0002871107448460318	199925
300006	4762	1688.690595149994	0.5017	1.0	0.5000221117222928	1.0	0.0	0.2644714520072735	0.00034916102268442315	299906
400050	6350	2268.6031506061554	0.4858	0.0	0.49982331111527145	1.0	0.0	0.1464710569160015	0.0002611655918544057	399950
500031	7937	2834.958176612854	0.5879	1.0	0.4922375643751482	1.0	0.0	0.1703052128262169	0.0003092823915544867	499931
600012	9524	3404.3202946186066	0.5601	1.0	0.4963996688789451	1.0	0.0	0.14080899450559062	0.00023639062191099653	599912
700056	11112	3973.9593193531036	0.5099	1.0	0.49992697736596475	1.0	0.0	0.16435548056706525	0.0001571964701926889	699956
800037	12699	4541.9568519592285	0.4981	0.0	0.5000213916816099	1.0	0.0	0.1728409018792708	0.0002742630974954715	799937
900018	14286	5111.733379602432	0.501	1.0	0.5000240018241525	1.0	0.0	0.16835012101202962	0.00023991425362177948	899918
1000062	15874	5686.460653781891	0.4982	0.0	0.5000217617026459	1.0	0.0	0.183176266786283	0.00021558023063382215	999962
1100043	17461	6257.512389183044	0.5088	1.0	0.4999475520046833	1.0	0.0	0.1791871278712843	0.0001720286100883687	1099943
1200024	19048	6828.476806879044	0.5087	1.0	0.4999493023602424	1.0	0.0	0.1443498216715742	0.00022152109179968073	1199924
1300005	20635	7399.047418117523	0.4894	0.0	0.49991262362849603	1.0	0.0	0.17398112549712128	0.00013458548522833093	1299905
1400049	22223	7972.008209228516	0.4995	0.0	0.5000247518625929	1.0	0.0	0.16842326224413914	0.00023914070157339876	1399949
1500030	23810	8541.610791444778	0.5081	1.0	0.49995938428895786	1.0	0.0	0.14374171575428168	0.00020263428702600513	1499930
1600011	25397	9107.689256429672	0.5094	1.0	0.49993662964756475	1.0	0.0	0.1551604358620578	0.00012767313369629006	1599911
1700055	26985	9678.182441711426	0.4998	0.0	0.5000249618731545	1.0	0.0	0.14871940423125588	0.00016546349755832857	1699955
1800036	28572	10245.911762237549	0.5036	1.0	0.5000120410591333	1.0	0.0	0.1514590466118386	0.00011273256842170095	1799936
1900017	30159	10813.904386281967	0.4973	0.0	0.5000177114574814	1.0	0.0	0.1335045685306341	0.00017912275599841305	1899917
2000061	31747	11381.0588388443	0.4457	0.0	0.4970676187620374	1.0	0.0	0.16857333137711267	0.0002397314740970258	1999961
2100042	33334	11949.671332597733	0.5024	1.0	0.5000192415539549	1.0	0.0	0.21626446562938056	0.0003017453138422681	2099942
2200023	34921	12518.802147865295	0.5026	1.0	0.5000182414914304	1.0	0.0	0.13230528396180766	0.00015875494119600055	2199923
2300004	36508	13088.6780128479	0.4995	0.0	0.5000247518625929	1.0	0.0	0.1460453749774518	0.00026089249146867336	2299904
2400048	38096	13657.660264253616	0.4992	0.0	0.5000243618427442	1.0	0.0	0.19341902955294094	0.00013979397880225307	2399948
2500029	39683	14227.286532402039	0.4902	0.0	0.4999289478468811	1.0	0.0	0.15060094833125337	0.00010689617539995482	2499929
2600010	41270	14796.216644763947	0.4983	0.0	0.5000221117222928	1.0	0.0	0.12186117031489803	9.963273768953101e-05	2599910
2700054	42858	15365.723869562149	0.4903	0.0	0.4999308983152662	1.0	0.0	0.13837057824856977	0.00036366638124726305	2699954
2800035	44445	15934.751221895218	0.5011	1.0	0.5000237918131876	1.0	0.0	0.12100950470883064	0.00032652618983559727	2799935
2900016	46032	16505.596215963364	0.5002	1.0	0.5000249618731545	1.0	0.0	0.14036017759544764	0.0001880085441713146	2899916
3000060	47620	17074.757560014725	0.5029	1.0	0.5000165913838919	1.0	0.0	0.20286931849481543	0.0002503646046583269	2999960
3100041	49207	17644.303888320923	0.5016	1.0	0.5000224417405927	1.0	0.0	0.1742849243705093	0.0002586207992988492	3099941
3200022	50794	18213.087027788162	0.5002	1.0	0.5000249618731545	1.0	0.0	0.14860629586271287	0.0002564064015973132	3199922
3300003	52381	18783.260844945908	0.4946	0.0	0.4999958395666492	1.0	0.0	0.15956120127682066	0.0001717920323348269	3299903
3400047	53969	19351.21762061119	0.4996	0.0	0.50002484186713	1.0	0.0	0.12187751166713512	0.0003889451222750464	3399947
3500028	55556	19917.82729077339	0.4983	0.0	0.5000221117222928	1.0	0.0	0.14147972765088537	8.729645869323872e-05	3499928
3600009	57143	20484.033143281937	0.4924	0.0	0.49996723565016976	1.0	0.0	0.20969514207416756	0.00022389597845089477	3599909
3700053	58731	21052.417730093002	0.9633	1.0	0.1880336290788604	1.0	0.0	0.1376179997244373	0.00014097282974230644	3699953
3800034	60318	21620.823638677597	0.5007	1.0	0.5000245118504143	1.0	0.0	0.1376945210468476	0.0001608326484421142	3799934
3900015	61905	22186.94243335724	0.5011	1.0	0.5000237918131876	1.0	0.0	0.22889804409257097	0.00011885533315076106	3899915
4000059	63493	22756.261091709137	0.4996	0.0	0.50002484186713	1.0	0.0	0.20626113390172862	0.00014491263398452083	3999959
4100040	65080	23328.16349172592	0.4926	0.0	0.4999702361378149	1.0	0.0	0.18332961889900654	0.00012481427868746593	4099940
4200021	66667	23897.23477768898	0.4928	0.0	0.49997315659516317	1.0	0.0	0.19838536232128703	0.0002505383647698673	4199921
4300002	68254	24470.160181760788	0.5023	1.0	0.5000197115826506	1.0	0.0	0.1473822998049499	0.00018428540081371868	4299902
4400046	69842	25041.405654668808	0.4956	0.0	0.5000056405322408	1.0	0.0	0.12092414924902375	0.0005075353684341754	4399946
4500027	71429	25608.30730032921	0.7345	1.0	0.44162116448976096	1.0	0.0	0.12313432862209997	9.948203340581877e-05	4499927
4600008	73016	26176.023071050644	0.4946	0.0	0.4999958395666492	1.0	0.0	0.2386537889669058	0.00013799827756918917	4599908
4700052	74604	26744.3219332695	0.4993	0.0	0.5000245118504143	1.0	0.0	0.19050371948353692	0.00010116398421875201	4699952
4800033	76191	27312.047760486603	0.5023	1.0	0.5000197115826506	1.0	0.0	0.19584758288107715	0.0001098745881189522	4799933
4900014	77778	27883.398047447205	0.4992	0.0	0.5000243618427442	1.0	0.0	0.10692615692073622	0.0001943324550535489	4899914
5000058	79366	28453.06377029419	0.5088	1.0	0.4999475520046833	1.0	0.0	0.1828652399067314	0.00014558685898676725	4999958
5100039	80953	29024.578714370728	0.4456	0.0	0.4970566834221762	1.0	0.0	0.137660459708482	0.00010669155710637617	5099939
5200020	82540	29596.315844535828	0.4971	0.0	0.5000165913838919	1.0	0.0	0.14714059375198968	0.00020902883091748992	5199920
5300001	84127	30165.296068668365	0.502	1.0	0.5000210016591403	1.0	0.0	0.17535600306612653	0.00010975123674900914	5299901
5400045	85715	30735.30841398239	0.6437	1.0	0.47892927173512007	1.0	0.0	0.19468313397295864	0.00011354059703509083	5399945
5500026	87302	31306.581871271133	0.4946	0.0	0.4999958395666492	1.0	0.0	0.1406339456746166	0.00012070455721877916	5499926
5600007	88889	31875.33299446106	0.5014	1.0	0.5000230417733071	1.0	0.0	0.19377254510204575	7.473863232921399e-05	5599907
5700051	90477	32447.84361410141	0.4962	0.0	0.5000105609445721	1.0	0.0	0.1518498754687395	9.353435385131788e-05	5699951
5800032	92064	33024.02632856369	0.4965	0.0	0.5000127511125366	1.0	0.0	0.15572725814875685	0.0001776367837800989	5799932
5900013	93651	33592.95625948906	0.4964	0.0	0.5000120410591333	1.0	0.0	0.14224218056393056	0.00014337259667531832	5899913
6000057	95239	34166.61204814911	0.502	1.0	0.5000210016591403	1.0	0.0	0.19145991076073895	0.00011181047221644119	5999957
6100038	96826	34738.82630324364	0.5047	1.0	0.5000029102825594	1.0	0.0	0.1149573948174458	0.00011745164671419784	6099938
6200019	98413	35308.95530319214	0.4962	0.0	0.5000105609445721	1.0	0.0	0.16068046009488612	0.0001899785910251333	6199919
6300000	100000	35882.86610484123	0.962	1.0	0.19120579480129926	1.0	0.0	0.11314855747140111	0.00030289781514478674	6299900
6400044	101588	36450.821249485016	0.5051	1.0	0.4999989898979696	1.0	0.0	0.16829299278347123	0.00010886948993984911	6399944
6500025	103175	37019.39659333229	0.4921	0.0	0.4999625848587331	1.0	0.0	0.17083564926170944	0.00011889070954119272	6499925
6600006	104762	37591.49533867836	0.5037	1.0	0.5000113110031743	1.0	0.0	0.17362320122565852	0.0002239835791832492	6599906
6700050	106350	38160.41444540024	0.4974	0.0	0.5000182414914304	1.0	0.0	0.10984354476398053	0.00014124091540011925	6699950
6800031	107937	38730.474811553955	0.4974	0.0	0.5000182414914304	1.0	0.0	0.1766846917119795	0.00018961985639796803	6799931
6900012	109524	39307.01104879379	0.4995	0.0	0.5000247518625929	1.0	0.0	0.1214242867817768	0.0001793856116900143	6899912
7000056	111112	39882.29032444954	0.508	1.0	0.49996099457818705	1.0	0.0	0.18130631246354384	0.0003012295582721718	6999956
7100037	112699	40455.19667315483	0.4989	0.0	0.5000237918131876	1.0	0.0	0.20911085564959273	0.00019857601733270196	7099937
7200018	114286	41024.132424116135	0.6726	1.0	0.46928803855021983	1.0	0.0	0.17260578881336125	0.0003260321979821866	7199918
7300062	115874	41598.579555511475	0.4971	0.0	0.5000165913838919	1.0	0.0	0.1151990490742399	0.00015746591148459597	7299962
7400043	117461	42169.686507463455	0.4957	0.0	0.5000065106086771	1.0	0.0	0.15643332225499415	0.0002253836413599993	7399943
7500024	119048	42744.08845973015	0.7129	1.0	0.45243127589274884	1.0	0.0	0.15025144086969036	0.00016740747545915426	7499924
7600005	120635	43318.742718696594	0.492	0.0	0.49996099457818705	1.0	0.0	0.20620216329316932	0.00012003718747821957	7599905
7700049	122223	43891.50669312477	0.8574	1.0	0.3496819522748846	1.0	0.0	0.2075147257146067	0.00013992884079466866	7699949
7800030	123810	44462.03456020355	0.4962	0.0	0.5000105609445721	1.0	0.0	0.18853684609359708	0.00012976665091370444	7799930
7900011	125397	45034.24128508568	0.5012	1.0	0.5000235618010772	1.0	0.0	0.18892717253944402	9.147900180730423e-05	7899911
8000055	126985	45611.872455358505	0.5066	1.0	0.4999814377992591	1.0	0.0	0.10249017680054584	0.00018661081687455043	7999955
8100036	128572	46180.63287448883	0.8462	1.0	0.3607749656747066	1.0	0.0	0.1287176244777522	0.0002144146422857962	8099936
8200017	130159	46751.485510349274	0.6528	1.0	0.47610379906355327	1.0	0.0	0.16581913653150143	0.00012535581255869831	8199917
8300061	131747	47322.62018728256	0.5111	1.0	0.4999017705289888	1.0	0.0	0.19582283689856864	0.00013052630908627521	8299961
8400042	133334	47894.82442522049	0.496	0.0	0.5000090008190753	1.0	0.0	0.23856098026434133	0.00011687506240160528	8399942
8500023	134921	48464.85217952728	0.5182	1.0	0.49969363551373885	1.0	0.0	0.1377611692163648	0.00018503242717966917	8499923
8600004	136508	49035.67088127136	0.4614	0.0	0.4985327406393174	1.0	0.0	0.13994604513432624	0.00017712493889650085	8599904
8700048	138096	49607.53591513634	0.502	1.0	0.5000210016591403	1.0	0.0	0.16198834474726145	0.0002501110891623203	8699948
8800029	139683	50180.77774810791	0.3135	0.0	0.46393886873961393	1.0	0.0	0.15581138778913314	0.00016523775306486973	8799929
8900010	141270	50754.329629182816	0.5072	1.0	0.49997315659516317	1.0	0.0	0.25980917719266683	0.00016516483648468884	8899910
9000054	142858	51328.747159957886	0.4996	0.0	0.50002484186713	1.0	0.0	0.1473965280796658	0.00015994165139553019	8999954
9100035	144445	51902.435579538345	0.4994	0.0	0.5000246418570253	1.0	0.0	0.2075342512086803	0.00029243089555874743	9099935
9200016	146032	52472.49713850021	0.4338	0.0	0.49562296578389226	1.0	0.0	0.18264902049344572	0.00013141139798385966	9199916
9300060	147620	53042.689085006714	0.5034	1.0	0.5000134411634695	1.0	0.0	0.1606494732742661	0.00021809238199199869	9299960
9400041	149207	53613.94095182419	0.4978	0.0	0.5000201616097112	1.0	0.0	0.16898111454938633	0.00025869517740398373	9399941
9500022	150794	54185.71179771423	0.4965	0.0	0.5000127511125366	1.0	0.0	0.16604051916353296	0.0001809485956522996	9499922
9600003	152381	54754.819487571716	0.7486	1.0	0.4338396727895786	1.0	0.0	0.1447352755599628	0.00014338103843660038	9599903
9700047	153969	55324.584627866745	0.5991	1.0	0.49010530533858954	1.0	0.0	0.1190040799592431	0.0002786556323225094	9699947
9800028	155556	55895.83400321007	0.5039	1.0	0.5000097908832365	1.0	0.0	0.12835646762613223	0.0001642036072011817	9799928
9900009	157143	56466.363183259964	0.7873	1.0	0.4092376541152519	1.0	0.0	0.13009398504108327	0.0003142099316922448	9899909
10000000	158731	57034.35562252998	0.5025	1.0	0.5000187515235679	1.0	0.0	0.14279750118538706	0.00028063369211787025	9999900
