steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100044	1588	563.8963923454285	0.5046	1.0	0.5000038403692899	1.0	0.0	0.13126059606824794	0.00043025884338374846	99944
200025	3175	1135.5894525051117	0.5091	1.0	0.4999421808753707	1.0	0.0	0.16332084023141355	0.0003046922059332818	199925
300006	4762	1704.2182431221008	0.5027	1.0	0.5000177114574814	1.0	0.0	0.12730757215849975	0.0003503576082216364	299906
400050	6350	2269.9009380340576	0.417	0.0	0.49308753130793437	1.0	0.0	0.13957648943537473	0.00016279728418094481	399950
500031	7937	2835.6165204048157	0.487	0.0	0.4998559648524361	1.0	0.0	0.1759207075215658	0.00030010042844714016	499931
600012	9524	3403.163128376007	0.1754	0.0	0.3803278913391615	1.0	0.0	0.17575193507900966	0.00021997387515304825	599912
700056	11112	3972.497216939926	0.5016	1.0	0.5000224417405927	1.0	0.0	0.13012884883369777	0.0003899399312443429	699956
800037	12699	4542.3178997039795	0.4993	0.0	0.5000245118504143	1.0	0.0	0.1804087100773146	0.0003390881188688087	799937
900018	14286	5113.137088537216	0.4953	0.0	0.5000029102825594	1.0	0.0	0.15053030077177165	0.0002203920636914589	899918
1000062	15874	5683.098876953125	0.3227	0.0	0.46753242524649097	1.0	0.0	0.15838592023751832	0.00019730253672595695	999962
1100043	17461	6251.35049533844	0.5057	1.0	0.4999925091948129	1.0	0.0	0.17440297984546996	0.0002545112657692558	1099943
1200024	19048	6817.47274184227	0.9705	1.0	0.16921174090862057	1.0	0.0	0.14269359710289226	0.0002203072461861268	1199924
1300005	20635	7386.319743871689	0.4203	0.0	0.49363172226643093	1.0	0.0	0.16658821318121633	0.0002115858356449211	1299905
1400049	22223	7953.337698698044	0.4923	0.0	0.4999657053945371	1.0	0.0	0.2165926285558438	0.0003019957207224308	1399949
1500030	23810	8520.594894647598	0.4917	0.0	0.4999561036836745	1.0	0.0	0.1327369277166896	0.0002608448092608534	1499930
1600011	25397	9091.794142246246	0.5105	1.0	0.49991473420389143	1.0	0.0	0.13854960759873858	0.0003231278539199536	1599911
1700055	26985	9663.749395132065	0.504	1.0	0.5000090008190753	1.0	0.0	0.17898953279632882	0.0003682972415582986	1699955
1800036	28572	10234.245805501938	0.5021	1.0	0.5000205916351904	1.0	0.0	0.17598486884067477	0.0002733083848197375	1799936
1900017	30159	10808.364963769913	0.5012	1.0	0.5000235618010772	1.0	0.0	0.181121122413029	0.0002498391967747389	1899917
2000061	31747	11382.108489274979	0.5747	1.0	0.49441314144695175	1.0	0.0	0.12942175640170567	0.000350787489754371	1999961
2100042	33334	11951.974984407425	0.7012	1.0	0.4577548622913744	1.0	0.0	0.16047358446656604	0.00022273176110625348	2099942
2200023	34921	12526.980030536652	0.4908	0.0	0.499940350477338	1.0	0.0	0.19112122107057597	0.00019057131416944505	2199923
2300004	36508	13100.706317186356	0.6237	1.0	0.484480940985523	1.0	0.0	0.12413897144833815	0.0003910281598896574	2299904
2400048	38096	13673.251193284988	0.68	1.0	0.4664994771446348	1.0	0.0	0.13454207218006164	0.00037875655776037706	2399948
2500029	39683	14247.832777500153	0.4995	0.0	0.5000247518625929	1.0	0.0	0.19006426366636958	0.0003562424176724313	2499929
2600010	41270	14820.986534357071	0.4973	0.0	0.5000177114574814	1.0	0.0	0.17656252257576538	0.00041502243822985683	2599910
2700054	42858	15396.289565086365	0.9808	1.0	0.13723426439607725	1.0	0.0	0.15507160529192554	0.0002581330613248909	2699954
2800035	44445	15972.894273757935	0.6593	1.0	0.4739683265762173	1.0	0.0	0.15223161785326184	0.0002761334493741209	2799935
2900016	46032	16545.176440238953	0.4961	0.0	0.5000097908832365	1.0	0.0	0.14630225865138582	0.00017403886190225413	2899916
3000060	47620	17114.383505821228	0.6404	1.0	0.4799071484017598	1.0	0.0	0.14275877410834525	0.00022758616759738231	2999960
3100041	49207	17684.730350732803	0.5014	1.0	0.5000230417733071	1.0	0.0	0.18825837624351424	0.00034956531919270474	3099941
3200022	50794	18253.734646081924	0.5532	1.0	0.4971865640259648	1.0	0.0	0.19652407667621197	0.0003293639305801726	3199922
3300003	52381	18823.55630850792	0.9779	1.0	0.14701616025164552	1.0	0.0	0.16802990185485475	0.00032066806152337144	3299903
3400047	53969	19396.08758997917	0.792	1.0	0.4058971239705016	1.0	0.0	0.15967903268631084	0.00015870377378095617	3399947
